strategy_synthesis,strategy_implementation,power_total,power_dynamic,power_static,power_clocks,power_logic,power_signals,power_block_RAM,power_IO,power_PS7,temperature_ambient_max,temperature_junction,confidence
Flow_AreaOptimized_high,Area_Explore,1.794,1.643,0.151,0.035,0.018,0.028,0.032,NA,1.529,64.3,45.7,Medium
Flow_AreaOptimized_high,Congestion_SSI_SpreadLogic_high,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_AreaOptimized_high,Flow_Quick,1.776,1.625,0.151,0.034,0.017,0.024,0.021,NA,1.529,64.5,45.5,Medium
Flow_AreaOptimized_high,Performance_Explore,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_AreaOptimized_high,Power_ExploreArea,1.760,1.610,0.150,0.036,0.015,0.023,0.007,NA,1.529,64.7,45.3,Medium
Flow_AreaOptimized_high,Vivado Implementation Defaults,1.780,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_PerfOptimized_high,Area_Explore,1.794,1.643,0.151,0.035,0.018,0.028,0.032,NA,1.529,64.3,45.7,Medium
Flow_PerfOptimized_high,Congestion_SSI_SpreadLogic_high,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_PerfOptimized_high,Flow_Quick,1.776,1.625,0.151,0.034,0.017,0.024,0.021,NA,1.529,64.5,45.5,Medium
Flow_PerfOptimized_high,Performance_Explore,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_PerfOptimized_high,Power_ExploreArea,1.760,1.610,0.150,0.036,0.015,0.023,0.007,NA,1.529,64.7,45.3,Medium
Flow_PerfOptimized_high,Vivado Implementation Defaults,1.780,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_PerfThresholdCarry,Area_Explore,1.794,1.643,0.151,0.035,0.018,0.028,0.032,NA,1.529,64.3,45.7,Medium
Flow_PerfThresholdCarry,Congestion_SSI_SpreadLogic_high,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_PerfThresholdCarry,Flow_Quick,1.776,1.625,0.151,0.034,0.017,0.024,0.021,NA,1.529,64.5,45.5,Medium
Flow_PerfThresholdCarry,Performance_Explore,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_PerfThresholdCarry,Power_ExploreArea,1.760,1.610,0.150,0.036,0.015,0.023,0.007,NA,1.529,64.7,45.3,Medium
Flow_PerfThresholdCarry,Vivado Implementation Defaults,1.780,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_RuntimeOptimized,Area_Explore,1.794,1.643,0.151,0.035,0.018,0.028,0.032,NA,1.529,64.3,45.7,Medium
Flow_RuntimeOptimized,Congestion_SSI_SpreadLogic_high,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_RuntimeOptimized,Flow_Quick,1.776,1.625,0.151,0.034,0.017,0.024,0.021,NA,1.529,64.5,45.5,Medium
Flow_RuntimeOptimized,Performance_Explore,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Flow_RuntimeOptimized,Power_ExploreArea,1.760,1.610,0.150,0.036,0.015,0.023,0.007,NA,1.529,64.7,45.3,Medium
Flow_RuntimeOptimized,Vivado Implementation Defaults,1.780,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Vivado Synthesis Defaults,Area_Explore,1.794,1.643,0.151,0.035,0.018,0.028,0.032,NA,1.529,64.3,45.7,Medium
Vivado Synthesis Defaults,Congestion_SSI_SpreadLogic_high,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Vivado Synthesis Defaults,Flow_Quick,1.776,1.625,0.151,0.034,0.017,0.024,0.021,NA,1.529,64.5,45.5,Medium
Vivado Synthesis Defaults,Performance_Explore,1.779,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
Vivado Synthesis Defaults,Power_ExploreArea,1.760,1.610,0.150,0.036,0.015,0.023,0.007,NA,1.529,64.7,45.3,Medium
Vivado Synthesis Defaults,Vivado Implementation Defaults,1.780,1.629,0.151,0.036,0.017,0.026,0.021,NA,1.529,64.5,45.5,Medium
